-,TRX_ID,date,pcs,kode_barang,nama_barang,year_month,tahun_bulan
2,7093,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
3,7093,2023-08-01,5.0,214,semen holsim,2023-08,2023-08
4,7094,2023-08-01,30.0,201,semen gresik,2023-08,2023-08
5,7095,2023-08-01,83.0,304,bata ringan tbl,2023-08,2023-08
6,7096,2023-08-01,166.0,304,bata ringan tbl,2023-08,2023-08
8,7097,2023-08-01,200.0,303,bata putih,2023-08,2023-08
7,7097,2023-08-01,83.0,304,bata ringan tbl,2023-08,2023-08
9,7097,2023-08-01,5.0,218,semen padang,2023-08,2023-08
13,7098,2023-08-01,8.0,304,bata ringan tbl,2023-08,2023-08
12,7098,2023-08-01,1.0,402,besi 8,2023-08,2023-08
10,7098,2023-08-01,0.5,104,colt pasir hitam,2023-08,2023-08
11,7098,2023-08-01,1.0,201,semen gresik,2023-08,2023-08
16,7099,2023-08-01,80.0,301,bata merah,2023-08,2023-08
14,7099,2023-08-01,1.0,104,colt pasir hitam,2023-08,2023-08
15,7099,2023-08-01,3.0,201,semen gresik,2023-08,2023-08
20,7100,2023-08-01,100.0,303,bata putih,2023-08,2023-08
21,7100,2023-08-01,2.0,401,besi 6,2023-08,2023-08
22,7100,2023-08-01,8.0,402,besi 8,2023-08,2023-08
17,7100,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
19,7100,2023-08-01,1.0,204,semen acian blackbull,2023-08,2023-08
18,7100,2023-08-01,5.0,201,semen gresik,2023-08,2023-08
23,7101,2023-08-01,40.0,201,semen gresik,2023-08,2023-08
26,7102,2023-08-01,2.0,401,besi 6,2023-08,2023-08
27,7102,2023-08-01,2.0,402,besi 8,2023-08,2023-08
24,7102,2023-08-01,0.5,104,colt pasir hitam,2023-08,2023-08
25,7102,2023-08-01,2.0,218,semen padang,2023-08,2023-08
28,7103,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
29,7103,2023-08-01,3.0,218,semen padang,2023-08,2023-08
30,7104,2023-08-01,1.0,103,colt tensla,2023-08,2023-08
32,7104,2023-08-01,20.0,409,kayu 3x5,2023-08,2023-08
31,7104,2023-08-01,6.0,520,triplek 9mm,2023-08,2023-08
33,7105,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
34,7105,2023-08-01,5.0,201,semen gresik,2023-08,2023-08
35,7106,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
36,7106,2023-08-01,5.0,201,semen gresik,2023-08,2023-08
37,7106,2023-08-01,6.0,518,triplek 6mm,2023-08,2023-08
38,7107,2023-08-01,1.0,103,colt tensla,2023-08,2023-08
39,7107,2023-08-01,5.0,201,semen gresik,2023-08,2023-08
40,7108,2023-08-01,166.0,304,bata ringan tbl,2023-08,2023-08
42,7109,2023-08-01,4.0,507,asbes 300 b,2023-08,2023-08
41,7109,2023-08-01,200.0,303,bata putih,2023-08,2023-08
43,7110,2023-08-01,5.0,505,asbes 240 k,2023-08,2023-08
44,7110,2023-08-01,1.0,510,fiber 240 k,2023-08,2023-08
45,7111,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
46,7111,2023-08-01,2.0,201,semen gresik,2023-08,2023-08
49,7112,2023-08-01,41.0,304,bata ringan tbl,2023-08,2023-08
47,7112,2023-08-01,1.0,101,colt pasir,2023-08,2023-08
50,7112,2023-08-01,1.0,208,semen br eco,2023-08,2023-08
48,7112,2023-08-01,5.0,201,semen gresik,2023-08,2023-08
51,7113,2023-08-02,1.0,104,colt pasir hitam,2023-08,2023-08
54,7114,2023-08-02,5.0,304,bata ringan tbl,2023-08,2023-08
55,7114,2023-08-02,1.0,401,besi 6,2023-08,2023-08
52,7114,2023-08-02,0.5,101,colt pasir,2023-08,2023-08
57,7114,2023-08-02,10.0,409,kayu 3x5,2023-08,2023-08
53,7114,2023-08-02,4.0,218,semen padang,2023-08,2023-08
56,7114,2023-08-02,4.0,516,triplek 3mm,2023-08,2023-08
58,7115,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
59,7115,2023-08-02,3.0,218,semen padang,2023-08,2023-08
60,7116,2023-08-02,166.0,304,bata ringan tbl,2023-08,2023-08
61,7117,2023-08-02,0.5,101,colt pasir,2023-08,2023-08
62,7117,2023-08-02,1.0,214,semen holsim,2023-08,2023-08
63,7118,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
64,7118,2023-08-02,10.0,201,semen gresik,2023-08,2023-08
66,7119,2023-08-02,5.0,402,besi 8,2023-08,2023-08
65,7119,2023-08-02,20.0,201,semen gresik,2023-08,2023-08
67,7120,2023-08-02,1.0,103,colt tensla,2023-08,2023-08
68,7120,2023-08-02,15.0,201,semen gresik,2023-08,2023-08
69,7121,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
70,7121,2023-08-02,2.0,214,semen holsim,2023-08,2023-08
72,7122,2023-08-02,5.0,402,besi 8,2023-08,2023-08
73,7122,2023-08-02,14.0,407,kanal c,2023-08,2023-08
77,7122,2023-08-02,15.0,409,kayu 3x5,2023-08,2023-08
76,7122,2023-08-02,1.0,204,semen acian blackbull,2023-08,2023-08
71,7122,2023-08-02,10.0,218,semen padang,2023-08,2023-08
74,7122,2023-08-02,5.0,517,triplek 4mm,2023-08,2023-08
75,7122,2023-08-02,5.0,518,triplek 6mm,2023-08,2023-08
78,7123,2023-08-02,1000.0,302,bata merah press mrh,2023-08,2023-08
80,7124,2023-08-02,50.0,304,bata ringan tbl,2023-08,2023-08
79,7124,2023-08-02,20.0,307,umpak gandeng,2023-08,2023-08
81,7125,2023-08-02,0.5,101,colt pasir,2023-08,2023-08
82,7125,2023-08-02,3.0,201,semen gresik,2023-08,2023-08
83,7126,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
84,7126,2023-08-02,3.0,201,semen gresik,2023-08,2023-08
85,7127,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
87,7128,2023-08-02,10.0,514,kalsiboard,2023-08,2023-08
88,7128,2023-08-02,1.0,204,semen acian blackbull,2023-08,2023-08
86,7128,2023-08-02,30.0,307,umpak gandeng,2023-08,2023-08
89,7129,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
90,7129,2023-08-02,5.0,201,semen gresik,2023-08,2023-08
91,7130,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
92,7130,2023-08-02,1.0,201,semen gresik,2023-08,2023-08
93,7131,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
94,7132,2023-08-02,166.0,304,bata ringan tbl,2023-08,2023-08
95,7132,2023-08-02,3.0,403,besi 10,2023-08,2023-08
98,7133,2023-08-02,40.0,303,bata putih,2023-08,2023-08
99,7133,2023-08-02,41.0,304,bata ringan tbl,2023-08,2023-08
96,7133,2023-08-02,0.5,101,colt pasir,2023-08,2023-08
97,7133,2023-08-02,2.0,201,semen gresik,2023-08,2023-08
100,7134,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
102,7134,2023-08-02,2.0,204,semen acian blackbull,2023-08,2023-08
101,7134,2023-08-02,3.0,201,semen gresik,2023-08,2023-08
103,7135,2023-08-02,166.0,304,bata ringan tbl,2023-08,2023-08
104,7135,2023-08-02,2.0,210,semen br mu,2023-08,2023-08
105,7136,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
106,7137,2023-08-02,1.0,101,colt pasir,2023-08,2023-08
107,7137,2023-08-02,3.0,201,semen gresik,2023-08,2023-08
108,7138,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
109,7138,2023-08-03,5.0,201,semen gresik,2023-08,2023-08
110,7138,2023-08-03,5.0,214,semen holsim,2023-08,2023-08
111,7139,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
114,7140,2023-08-03,40.0,304,bata ringan tbl,2023-08,2023-08
112,7140,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
113,7140,2023-08-03,4.0,201,semen gresik,2023-08,2023-08
115,7141,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
116,7142,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
117,7143,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
118,7143,2023-08-03,0.5,103,colt tensla,2023-08,2023-08
119,7143,2023-08-03,2.0,201,semen gresik,2023-08,2023-08
120,7144,2023-08-03,30.0,201,semen gresik,2023-08,2023-08
121,7145,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
122,7145,2023-08-03,1.0,214,semen holsim,2023-08,2023-08
123,7147,2023-08-03,7.0,304,bata ringan tbl,2023-08,2023-08
125,7147,2023-08-03,20.0,405,hollow 2x4,2023-08,2023-08
126,7147,2023-08-03,5.0,514,kalsiboard,2023-08,2023-08
127,7147,2023-08-03,30.0,409,kayu 3x5,2023-08,2023-08
124,7147,2023-08-03,1.0,201,semen gresik,2023-08,2023-08
128,7148,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
129,7148,2023-08-03,3.0,214,semen holsim,2023-08,2023-08
131,7149,2023-08-03,2.0,504,asbes 210 k,2023-08,2023-08
132,7149,2023-08-03,10.0,402,besi 8,2023-08,2023-08
130,7149,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
133,7150,2023-08-03,100.0,303,bata putih,2023-08,2023-08
134,7150,2023-08-03,5.0,201,semen gresik,2023-08,2023-08
137,7151,2023-08-03,8.0,304,bata ringan tbl,2023-08,2023-08
135,7151,2023-08-03,0.5,101,colt pasir,2023-08,2023-08
136,7151,2023-08-03,1.0,201,semen gresik,2023-08,2023-08
138,7152,2023-08-03,1.0,103,colt tensla,2023-08,2023-08
139,7152,2023-08-03,10.0,201,semen gresik,2023-08,2023-08
140,7153,2023-08-03,1000.0,301,bata merah,2023-08,2023-08
141,7153,2023-08-03,5.0,201,semen gresik,2023-08,2023-08
142,7154,2023-08-03,0.5,101,colt pasir,2023-08,2023-08
143,7154,2023-08-03,3.0,214,semen holsim,2023-08,2023-08
144,7155,2023-08-03,0.5,101,colt pasir,2023-08,2023-08
145,7155,2023-08-03,1.0,201,semen gresik,2023-08,2023-08
146,7156,2023-08-03,1.0,101,colt pasir,2023-08,2023-08
147,7156,2023-08-03,10.0,201,semen gresik,2023-08,2023-08
148,7157,2023-08-03,0.5,101,colt pasir,2023-08,2023-08
149,7158,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
150,7158,2023-08-04,3.0,201,semen gresik,2023-08,2023-08
151,7158,2023-08-04,1.0,214,semen holsim,2023-08,2023-08
152,7159,2023-08-04,0.5,104,colt pasir hitam,2023-08,2023-08
153,7159,2023-08-04,2.0,201,semen gresik,2023-08,2023-08
154,7160,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
155,7160,2023-08-04,2.0,214,semen holsim,2023-08,2023-08
156,7161,2023-08-04,0.5,104,colt pasir hitam,2023-08,2023-08
157,7161,2023-08-04,40.0,201,semen gresik,2023-08,2023-08
159,7162,2023-08-04,5.0,206,semen acian tr,2023-08,2023-08
162,7162,2023-08-04,2.0,206,semen acian tr,2023-08,2023-08
158,7162,2023-08-04,10.0,201,semen gresik,2023-08,2023-08
161,7162,2023-08-04,12.0,201,semen gresik,2023-08,2023-08
160,7162,2023-08-04,10.0,218,semen padang,2023-08,2023-08
163,7163,2023-08-04,2.0,602,sumur 70,2023-08,2023-08
166,7164,2023-08-04,50.0,303,bata putih,2023-08,2023-08
164,7164,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
165,7164,2023-08-04,3.0,201,semen gresik,2023-08,2023-08
167,7165,2023-08-04,35.0,507,asbes 300 b,2023-08,2023-08
168,7166,2023-08-04,0.5,101,colt pasir,2023-08,2023-08
169,7166,2023-08-04,2.0,201,semen gresik,2023-08,2023-08
170,7166,2023-08-04,15.0,218,semen padang,2023-08,2023-08
171,7167,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
172,7168,2023-08-04,1.0,101,colt pasir,2023-08,2023-08
